Complaint_Text,Standardized_Complaint,Category,Sentiment,Priority,Village,Date,Pincode,lang
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Morgaon,14-03-2025,413304,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Nimbut,09-12-2024,413110,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Pandare,22-07-2024,413103,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Nimbut,19-05-2024,413110,en
No electricity for 5 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Nimbut,06-09-2024,413110,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Pandare,11-04-2025,413103,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Pandare,02-01-2025,413103,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Katphal,16-12-2024,413111,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Morgaon,10-06-2024,413304,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Someshwar,18-08-2025,412306,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Pandare,09-09-2024,413103,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Supa,17-05-2025,413109,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Malegaon,06-07-2024,413115,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Pandare,18-06-2024,413103,en
No water supply in the village since 6 days.,no_water_supply,Water,Negative,High,Someshwar,08-03-2024,412306,en
The road from Malegaon to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Katphal,26-11-2024,413111,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Supa,18-01-2024,413109,en
Village health worker is absent since 6 days.,health_worker_absent,Health,Negative,Medium,Katphal,11-03-2025,413111,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Pandare,07-04-2024,413103,en
Electric transformer is not working in Morgaon.,electricity_supply_disrupted,Electricity,Negative,High,Baramati,28-08-2025,413102,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Malegaon,29-06-2025,413115,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Someshwar,04-07-2024,412306,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Supa,09-03-2024,413109,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Pandare,12-01-2024,413103,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Someshwar,02-10-2024,412306,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Supa,07-03-2024,413109,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Katphal,15-11-2024,413111,en
The road from Jejuri to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Baramati,19-05-2024,413102,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Pandare,11-09-2025,413103,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Katphal,28-05-2025,413111,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Nimbut,03-06-2024,413110,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Pandare,29-02-2024,413103,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Katphal,27-09-2024,413111,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Pandare,12-06-2024,413103,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Nimbut,02-02-2024,413110,en
No water supply in the village since 7 days.,no_water_supply,Water,Negative,High,Morgaon,21-06-2025,413304,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Pandare,16-01-2025,413103,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Someshwar,17-11-2024,412306,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Malegaon,09-06-2024,413115,en
Library in village remains closed.,library_closed,Others,Negative,Low,Nimbut,15-03-2024,413110,en
Electric transformer is not working in Pandharpur.,electricity_supply_disrupted,Electricity,Negative,High,Someshwar,18-02-2024,412306,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Pandare,03-06-2024,413103,en
Library in village remains closed.,library_closed,Others,Negative,Low,Katphal,26-07-2025,413111,en
Large potholes on road,road_potholes,Road,Negative,Low,Morgaon,22-08-2025,413304,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Malegaon,10-07-2025,413115,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Katphal,01-03-2024,413111,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Baramati,11-08-2024,413102,en
Garbage is not collected regularly in Bhigwan.,garbage_not_collected,Sanitation,Negative,Medium,Morgaon,19-04-2025,413304,en
Large potholes on road,road_potholes,Road,Negative,Low,Katphal,03-11-2024,413111,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Baramati,15-09-2024,413102,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Katphal,04-11-2024,413111,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Morgaon,15-11-2024,413304,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Morgaon,18-05-2025,413304,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Malegaon,08-08-2025,413115,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Katphal,28-01-2025,413111,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Supa,11-04-2025,413109,en
Village health worker is absent since 1 days.,health_worker_absent,Health,Negative,Medium,Katphal,19-08-2025,413111,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Pandare,11-11-2024,413103,en
Village health worker is absent since 5 days.,health_worker_absent,Health,Negative,Medium,Malegaon,23-02-2024,413115,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Someshwar,25-12-2024,412306,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Morgaon,23-02-2025,413304,en
No electricity for 10 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Nimbut,20-01-2025,413110,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Pandare,01-02-2025,413103,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Someshwar,24-05-2025,412306,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Pandare,05-08-2025,413103,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Morgaon,26-10-2024,413304,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Katphal,02-02-2025,413111,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Katphal,23-06-2025,413111,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Supa,15-07-2025,413109,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Someshwar,10-06-2024,412306,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Malegaon,10-06-2024,413115,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Malegaon,15-10-2024,413115,en
Electric transformer is not working in Bhigwan.,electricity_supply_disrupted,Electricity,Negative,High,Someshwar,23-02-2025,412306,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Katphal,22-02-2024,413111,en
The road from Someshwar to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Nimbut,23-05-2025,413110,en
No water supply in the village since 1 days.,no_water_supply,Water,Negative,High,Pandare,05-01-2024,413103,en
No water supply in the village since 10 days.,no_water_supply,Water,Negative,High,Morgaon,22-05-2024,413304,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Supa,29-05-2024,413109,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Pandare,30-10-2024,413103,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Supa,21-10-2024,413109,en
Garbage is not collected regularly in Loni.,garbage_not_collected,Sanitation,Negative,Medium,Pandare,24-07-2024,413103,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Someshwar,22-11-2024,412306,en
The road from Someshwar to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Morgaon,26-10-2024,413304,en
The road from Someshwar to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Morgaon,02-11-2024,413304,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Malegaon,05-08-2025,413115,en
Water tanker not arrived for 3 days,no_water_supply,Water,Negative,High,Supa,31-12-2024,413109,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Malegaon,07-09-2025,413115,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Morgaon,16-03-2025,413304,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Pandare,25-07-2025,413103,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Pandare,13-04-2025,413103,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Morgaon,10-08-2024,413304,en
Water tanker not arrived for 4 days,no_water_supply,Water,Negative,High,Malegaon,17-01-2025,413115,en
Village health worker is absent since 7 days.,health_worker_absent,Health,Negative,Medium,Pandare,09-08-2024,413103,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Morgaon,19-01-2025,413304,en
No electricity for 10 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Malegaon,04-03-2025,413115,en
Library in village remains closed.,library_closed,Others,Negative,Low,Morgaon,29-03-2024,413304,en
Village health worker is absent since 6 days.,health_worker_absent,Health,Negative,Medium,Baramati,26-01-2025,413102,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Supa,08-03-2024,413109,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Pandare,05-09-2024,413103,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Someshwar,20-07-2025,412306,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Someshwar,16-08-2024,412306,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Pandare,09-08-2025,413103,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Pandare,19-01-2024,413103,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Supa,01-12-2024,413109,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Nimbut,26-01-2024,413110,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Pandare,22-07-2025,413103,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Supa,05-07-2024,413109,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Nimbut,13-02-2024,413110,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Katphal,16-06-2025,413111,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Morgaon,10-01-2024,413304,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Malegaon,10-07-2024,413115,en
Library in village remains closed.,library_closed,Others,Negative,Low,Malegaon,18-09-2024,413115,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Morgaon,24-01-2025,413304,en
Library in village remains closed.,library_closed,Others,Negative,Low,Katphal,18-02-2024,413111,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Nimbut,27-02-2024,413110,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Malegaon,23-09-2024,413115,en
Garbage is not collected regularly in Bhigwan.,garbage_not_collected,Sanitation,Negative,Medium,Morgaon,05-05-2025,413304,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Katphal,29-08-2025,413111,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Nimbut,15-08-2024,413110,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Pandare,12-05-2025,413103,en
The road from Daund to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Someshwar,02-07-2025,412306,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Morgaon,05-06-2025,413304,en
The road from Someshwar to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Malegaon,30-05-2024,413115,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Someshwar,04-01-2025,412306,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Morgaon,28-06-2024,413304,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Supa,08-01-2024,413109,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Pandare,27-04-2025,413103,en
Large potholes on road,road_potholes,Road,Negative,Low,Morgaon,01-07-2024,413304,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Morgaon,16-06-2024,413304,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Katphal,27-06-2025,413111,en
No water supply in the village since 2 days.,no_water_supply,Water,Negative,High,Pandare,19-06-2025,413103,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Malegaon,30-04-2024,413115,en
Large potholes on road,road_potholes,Road,Negative,Low,Supa,19-01-2025,413109,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Malegaon,19-10-2024,413115,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Nimbut,31-01-2025,413110,en
Village health worker is absent since 7 days.,health_worker_absent,Health,Negative,Medium,Morgaon,12-02-2024,413304,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Malegaon,04-05-2024,413115,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Pandare,14-04-2024,413103,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Nimbut,10-01-2025,413110,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Malegaon,31-01-2025,413115,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Pandare,31-07-2025,413103,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Katphal,16-08-2025,413111,en
Library in village remains closed.,library_closed,Others,Negative,Low,Baramati,01-05-2025,413102,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Supa,29-01-2025,413109,en
No electricity for 8 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Malegaon,17-07-2024,413115,en
The road from Malegaon to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Someshwar,25-04-2025,412306,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Pandare,04-03-2025,413103,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Malegaon,22-06-2025,413115,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Morgaon,18-02-2024,413304,en
No electricity for 5 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Morgaon,03-04-2024,413304,en
No electricity for 10 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Someshwar,06-02-2024,412306,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Supa,01-06-2024,413109,en
No electricity for 3 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Someshwar,24-10-2024,412306,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Malegaon,20-07-2024,413115,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Malegaon,07-05-2024,413115,en
Electric transformer is not working in Someshwar.,electricity_supply_disrupted,Electricity,Negative,High,Someshwar,09-02-2025,412306,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Malegaon,28-08-2025,413115,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Malegaon,23-07-2024,413115,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Pandare,11-03-2024,413103,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Morgaon,15-05-2024,413304,en
Garbage is not collected regularly in Morgaon.,garbage_not_collected,Sanitation,Negative,Medium,Baramati,17-01-2024,413102,en
Electric transformer is not working in Morgaon.,electricity_supply_disrupted,Electricity,Negative,High,Baramati,02-07-2025,413102,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Malegaon,08-08-2024,413115,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Pandare,05-11-2024,413103,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Supa,10-09-2024,413109,en
Water tanker not arrived for 10 days,no_water_supply,Water,Negative,High,Someshwar,03-12-2024,412306,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Baramati,08-11-2024,413102,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Morgaon,27-11-2024,413304,en
No electricity for 7 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Morgaon,15-04-2025,413304,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Baramati,03-03-2024,413102,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Someshwar,17-01-2025,412306,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Someshwar,28-08-2024,412306,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Nimbut,24-07-2025,413110,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Supa,26-02-2025,413109,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Katphal,25-10-2024,413111,en
No electricity for 5 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Supa,08-06-2025,413109,en
Water tanker not arrived for 1 days,no_water_supply,Water,Negative,High,Morgaon,22-03-2024,413304,en
No electricity for 5 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Malegaon,17-05-2025,413115,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Nimbut,14-09-2024,413110,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Baramati,19-08-2025,413102,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Someshwar,06-03-2024,412306,en
Garbage is not collected regularly in Morgaon.,garbage_not_collected,Sanitation,Negative,Medium,Supa,31-07-2024,413109,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Morgaon,23-05-2024,413304,en
Electric transformer is not working in Pandharpur.,electricity_supply_disrupted,Electricity,Negative,High,Supa,14-05-2025,413109,en
Electric transformer is not working in Someshwar.,electricity_supply_disrupted,Electricity,Negative,High,Malegaon,12-01-2025,413115,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Katphal,03-04-2025,413111,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Nimbut,19-11-2024,413110,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Baramati,28-01-2024,413102,en
Garbage is not collected regularly in Jejuri.,garbage_not_collected,Sanitation,Negative,Medium,Someshwar,30-01-2025,412306,en
Garbage is not collected regularly in Bhigwan.,garbage_not_collected,Sanitation,Negative,Medium,Supa,20-12-2024,413109,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Nimbut,25-06-2025,413110,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Baramati,08-08-2024,413102,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Malegaon,23-02-2024,413115,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Baramati,21-07-2025,413102,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Supa,26-02-2025,413109,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Katphal,18-02-2024,413111,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Nimbut,29-04-2025,413110,en
Large potholes on road,road_potholes,Road,Negative,Low,Morgaon,10-02-2024,413304,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Pandare,17-05-2025,413103,en
Garbage is not collected regularly in Someshwar.,garbage_not_collected,Sanitation,Negative,Medium,Pandare,16-04-2024,413103,en
No water supply in the village since 9 days.,no_water_supply,Water,Negative,High,Morgaon,09-06-2024,413304,en
Electric transformer is not working in Daund.,electricity_supply_disrupted,Electricity,Negative,High,Baramati,04-02-2024,413102,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Katphal,11-01-2024,413111,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Katphal,12-07-2024,413111,en
Water tanker not arrived for 9 days,no_water_supply,Water,Negative,High,Morgaon,17-06-2024,413304,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Malegaon,25-01-2025,413115,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Nimbut,05-09-2025,413110,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Supa,13-05-2024,413109,en
No water supply in the village since 3 days.,no_water_supply,Water,Negative,High,Katphal,04-09-2024,413111,en
The road from Malegaon to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Malegaon,24-08-2025,413115,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Supa,15-06-2025,413109,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Katphal,06-02-2024,413111,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Supa,10-04-2025,413109,en
Large potholes on road,road_potholes,Road,Negative,Low,Someshwar,12-09-2025,412306,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Someshwar,30-08-2025,412306,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Someshwar,03-07-2025,412306,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Malegaon,10-07-2024,413115,en
No electricity for 3 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Supa,26-07-2024,413109,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Someshwar,25-05-2024,412306,en
No electricity for 5 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Baramati,29-06-2024,413102,en
Water tanker not arrived for 3 days,no_water_supply,Water,Negative,High,Supa,14-05-2024,413109,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Katphal,21-03-2025,413111,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Pandare,15-04-2024,413103,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Nimbut,08-04-2024,413110,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Supa,06-04-2024,413109,en
Water tanker not arrived for 10 days,no_water_supply,Water,Negative,High,Nimbut,26-03-2024,413110,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Baramati,14-02-2024,413102,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Baramati,21-07-2024,413102,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Baramati,31-12-2024,413102,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Supa,04-08-2025,413109,en
Library in village remains closed.,library_closed,Others,Negative,Low,Nimbut,10-02-2025,413110,en
No water supply in the village since 4 days.,no_water_supply,Water,Negative,High,Katphal,31-05-2024,413111,en
The road from Indapur to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Pandare,21-08-2024,413103,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Malegaon,04-05-2024,413115,en
No electricity for 10 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Malegaon,11-08-2025,413115,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Nimbut,25-06-2025,413110,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Katphal,02-05-2024,413111,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Pandare,17-01-2025,413103,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Baramati,21-08-2025,413102,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Baramati,25-09-2024,413102,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Baramati,14-04-2025,413102,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Katphal,18-04-2025,413111,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Someshwar,23-01-2025,412306,en
Garbage is not collected regularly in Someshwar.,garbage_not_collected,Sanitation,Negative,Medium,Pandare,05-04-2025,413103,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Katphal,27-03-2024,413111,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Katphal,18-06-2025,413111,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Malegaon,07-04-2025,413115,en
Garbage is not collected regularly in Morgaon.,garbage_not_collected,Sanitation,Negative,Medium,Pandare,12-02-2025,413103,en
Large potholes on road,road_potholes,Road,Negative,Low,Baramati,10-02-2025,413102,en
Water tanker not arrived for 8 days,no_water_supply,Water,Negative,High,Morgaon,30-06-2025,413304,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Morgaon,06-12-2024,413304,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Nimbut,25-12-2024,413110,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Morgaon,24-06-2025,413304,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Katphal,09-07-2025,413111,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Baramati,18-07-2024,413102,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Nimbut,17-08-2025,413110,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Malegaon,01-05-2024,413115,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Morgaon,15-01-2025,413304,en
No electricity for 1 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Nimbut,17-05-2024,413110,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Nimbut,10-02-2024,413110,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Katphal,10-12-2024,413111,en
Village health worker is absent since 8 days.,health_worker_absent,Health,Negative,Medium,Malegaon,12-09-2024,413115,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Morgaon,08-03-2025,413304,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Morgaon,16-04-2025,413304,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Nimbut,12-04-2025,413110,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Someshwar,14-08-2024,412306,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Pandare,11-11-2024,413103,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Pandare,15-05-2024,413103,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Baramati,16-08-2024,413102,en
Library in village remains closed.,library_closed,Others,Negative,Low,Malegaon,01-05-2025,413115,en
Electric transformer is not working in Someshwar.,electricity_supply_disrupted,Electricity,Negative,High,Morgaon,20-04-2024,413304,en
The road from Bhigwan to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Pandare,25-03-2025,413103,en
Water tanker not arrived for 4 days,no_water_supply,Water,Negative,High,Morgaon,12-06-2025,413304,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Morgaon,19-06-2025,413304,en
Electric transformer is not working in Bhigwan.,electricity_supply_disrupted,Electricity,Negative,High,Morgaon,18-03-2024,413304,en
No electricity for 5 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Supa,20-08-2024,413109,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Pandare,14-05-2024,413103,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Katphal,21-03-2025,413111,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Morgaon,28-04-2025,413304,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Someshwar,24-06-2025,412306,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Baramati,13-05-2025,413102,en
